DateAndTime;Line;ID;Carrier;BarCode1;BarCode2;BarCode3;BarCode4;LotNum
2024-01-16 11:25:01.550;1;12250886;UPS;00008772260035007952;1ZV1151Y0314212500;420331220002;;9
2024-01-16 11:25:09.550;1;12250887;UPS;42033191;1Z1F92320214751040;;;9
2024-01-16 11:25:43.660;1;12250888;UPS;420331261514;1Z39R5251328288427;FRN;;9
2024-01-16 11:25:50.660;1;12250889;UPS;4203312292612903436233541480456545;420331529995;1ZC6H140YW744;;9
2024-01-16 11:25:57.660;1;12250890;UPS;E17;1ZX341F40315021819;420331220002;;9
2024-01-16 11:26:03.660;1;12250891;UPS;1ZF961710340069589;42033191;;;9
2024-01-16 11:26:06.660;1;12250892;UPS;00000195031100871269;4203312292748903258582571002805251;1ZAG2;;9
2024-01-16 11:26:13.663;1;12250893;UPS;1Z9XV9050214918517;420331220002;;;9
2024-01-16 11:26:17.663;1;12250894;UPS;420331911501;1Z4Y582V0332337560;E15;;9
2024-01-16 11:26:23.663;1;12250895;UPS;1Z2449Y40302556558;420331911501;E15;;9
2024-01-16 11:26:26.663;1;12250896;UPS;420331911501;1Z245W950307766727;;;9
2024-01-16 11:26:33.663;1;12250897;UPS;420331911501;1ZY5A9150222898992;;;9
2024-01-16 11:26:40.663;1;12250898;UPS;1Z9A83860455620804;;;;9
2024-01-16 11:26:45.663;1;12250899;UPS;420331220002;1ZC6H1400373103882;;;9
2024-01-16 11:26:56.663;1;12250900;UPS;1Z099Y8V0373874333;420331911501;spNG39NLKDm;E16;9
2024-01-16 11:27:02.663;1;12250901;UPS;00000197180418289473;4203312292612965081130551160770997;1Z521;;9
2024-01-16 11:27:08.663;1;12250902;UPS;E15;1ZA8D7560305760967;420331911501;;9
2024-01-16 11:27:12.663;1;12250903;UPS;420331529995;4203312292612909887343571021341726;1Z08YY74YW167;;9
2024-01-16 11:27:17.663;1;12250904;UPS;42033122;1ZE4G7300315998438;;;9
2024-01-16 11:27:26.663;1;12250905;UPS;420331220002;1ZAC98180333552686;;;9
2024-01-16 11:27:33.663;1;12250906;UPS;42033191;1Z1F92320214751335;;;9
2024-01-16 11:27:39.663;1;12250907;UPS;420331911501;1Z82A4A61243051875;;;9
2024-01-16 11:27:43.663;1;12250908;UPS;1Z0092V90392627340;42033122;;;9
2024-01-16 11:27:52.663;1;12250909;UPS;1Z82V5470357659310;420331911501;E15;;9
2024-01-16 11:27:56.663;1;12250910;UPS;1ZC1B8370230169394;420331220002;;;9
2024-01-16 11:28:01.680;1;12250911;UPS;1ZAC28530202642294;420331911501;;;9
2024-01-16 11:28:05.680;1;12250912;UPS;1Z0W2F250301024179;420331220002;E16;;9
2024-01-16 11:28:12.680;1;12250913;UPS;420331529995;1ZC6H140YW91789280;42033122926129034362335414806;;9
2024-01-16 11:28:21.710;1;12250914;UPS;1Z45Y5550300113245;42033122;;;9
2024-01-16 11:28:25.710;1;12250915;UPS;420331529995;1ZC6H140YW87279884;;;9
2024-01-16 11:28:31.727;1;12250916;UPS;4203312292612903436233541480489222;1ZC6H140YW69607660;4203315;;9
2024-01-16 11:28:38.727;1;12250917;UPS;FRN;1Z7V26681265866086;420331911501;spRKF3ltLLb;9
2024-01-16 11:28:45.727;1;12250918;UPS;420331529995;00004200087694877282;1ZA5T360YW89765672;42033122;9
2024-01-16 11:28:51.727;1;12250919;UPS;4203312292612903436233541480470916;1ZC6H140YW86905921;4203315;;9
2024-01-16 11:28:56.727;1;12250920;UPS;1Z4437700312531403;420331220002;;;9
2024-01-16 11:29:04.727;1;12250921;UPS;420331220002;1ZAC98180329100181;;;9
2024-01-16 11:29:10.727;1;12250922;UPS;1Z4437700318520002;420331220002;;;9
2024-01-16 11:29:15.727;1;12250923;UPS;420331911501;1ZX341F40315029400;;;9
2024-01-16 11:29:23.730;1;12250924;UPS;420331529995;4203312292612902653396571016676086;1Z877F4YYW166;;9
2024-01-16 11:29:28.730;1;12250925;UPS;420331911501;1Z81RF250378177808;0196979058477;;9
2024-01-16 11:29:33.730;1;12250926;UPS;1Z4831221398289000;420331220002;;;9
2024-01-16 11:29:37.743;1;12250927;UPS;420331911501;1ZX262790334166831;;;9
2024-01-16 11:29:43.747;1;12250928;UPS;1ZY392A80324506377;420331220002;FRG;;9
2024-01-16 11:29:47.747;1;12250929;UPS;FRN;420331220002;1Z6W84X30310600159;;9
2024-01-16 11:29:53.760;1;12250930;UPS;NO READ;;;;9
2024-01-16 11:29:56.760;1;12250931;UPS;4203312292612999941306541423797361;1ZB79164YW04847334;4203315;;9
2024-01-16 11:30:07.777;1;12250932;UPS;1Z4437700334683182;420331220002;;;9
2024-01-16 11:30:14.777;1;12250933;UPS;420331269998;1ZC6H140YW58353535;42033191926129034362335414806;;9
2024-01-16 11:30:21.777;1;12250934;UPS;420331529995;1ZC6H140YW50569826;42033122926129034362335414803;;9
2024-01-16 11:30:24.777;1;12250935;UPS;4203312292612903436233541405781363;1ZC6H140YW09726608;4203315;;9
2024-01-16 11:30:30.777;1;12250936;UPS;4203312292612903436233541480537183;1ZC6H140YW59169279;4203315;;9
2024-01-16 11:30:39.810;1;12250937;UPS;4203312292612903436233541405564270;1ZC6H140YW21438576;4203315;;9
2024-01-16 11:30:48.810;1;12250938;UPS;4203312292612903436233541405469476;1ZC6H140YW01638852;4203315;;9
2024-01-16 11:30:54.810;1;12250939;UPS;1ZX3063F1240777398;420331911501;;;9
2024-01-16 11:30:58.810;1;12250940;UPS;1ZB349150200205856;420331220002;;;9
2024-01-16 11:31:04.823;1;12250941;UPS;420331220002;1ZT1T7951393811528;;;9
2024-01-16 11:31:07.823;1;12250942;UPS;420331220002;1Z4437700346929573;;;9
2024-01-16 11:31:16.823;1;12250943;UPS;420331269998;1ZC6H140YW81209586;42033191926129034362335414804;;9
2024-01-16 11:31:29.827;1;12250944;UPS;420331220002;1ZC1R7390333276138;SF7310006649286;AB08;9
2024-01-16 11:31:42.827;1;12250945;UPS;4203312292612903436233541405470021;;;;9
2024-01-16 11:31:47.827;1;12250946;UPS;420331911501;E16;;;9
2024-01-16 11:31:52.840;1;12250947;UPS;4203312292612903436233541405540618;1ZC6H140YW19691556;4203315;;9
2024-01-16 11:32:00.857;1;12250948;UPS;FRP;1Z62Y1Y80279388200;42033191;;9
2024-01-16 11:32:05.873;1;12250949;UPS;E15;420331911501;1Z099Y8V0373830728;;9
2024-01-16 11:32:11.890;1;12250950;UPS;1ZE4G7300315983980;42033122;;;9
2024-01-16 11:32:16.903;1;12250951;UPS;420331529995;1ZC6H140YW89249171;42033122926129034362335414806;;9
2024-01-16 11:32:25.903;1;12250952;UPS;R748385224-0;1ZB350980304274007;420331220002;0000000001006497;9
2024-01-16 11:32:30.903;1;12250953;UPS;420331220002;1ZC1F9740300304403;;;9
2024-01-16 11:32:40.903;1;12250954;UPS;420331220002;1Z8FY3300266945376;125817265-00;;9
2024-01-16 11:32:44.903;1;12250955;UPS;420331911501;1Z099Y8V0373806059;;;9
2024-01-16 11:32:55.903;1;12250956;UPS;420331220002;1Z6A91Y30318466548;00000125020142249080;;9
2024-01-16 11:32:58.903;1;12250957;UPS;4203312292612903436233541405783527;1ZC6H140YW23235960;4203315;;9
2024-01-16 11:33:06.903;1;12250958;UPS;420331220000;1Z099Y8V0373745857;;;9
2024-01-16 11:33:09.903;1;12250959;UPS;4203312292612999940636541535934839;420331529995;;;9
2024-01-16 11:33:24.920;1;12250960;UPS;00004200047149632002;420331529995;1ZA13F31YW66220033;42033122;9
2024-01-16 11:33:29.920;1;12250961;UPS;4203312292612909858126581091187822;1ZA5T360YW89893471;4203315;;9
2024-01-16 11:33:33.920;1;12250962;UPS;420331911501;1Z803R420309640818;;;9
2024-01-16 11:33:38.920;1;12250963;UPS;420331529995;4203312292612999897543581093857704;1ZA13F31YW660;;9
2024-01-16 11:33:44.920;1;12250964;UPS;420331911501;1Z803R420309596322;;;9
2024-01-16 11:33:48.920;1;12250965;UPS;420331220002;1Z14VW930302137609;;;9
2024-01-16 11:33:57.920;1;12250966;UPS;420331220002;1Z73R6V20397907915;;;9
2024-01-16 11:34:01.920;1;12250967;UPS;00000000010798975268;1ZW934R50219356560;42033122;13X10X3;9
2024-01-16 11:34:05.920;1;12250968;UPS;42033122;1Z7Y23V40395824305;;;9
2024-01-16 11:34:40.937;1;12250969;UPS;420331220002;1ZAC98180354165529;;;9
2024-01-16 11:34:44.937;1;12250970;UPS;420331220002;1Z803R420309582177;;;9
2024-01-16 11:34:48.937;1;12250971;UPS;1Z4327190339712614;420331261501;;;9
2024-01-16 11:34:57.937;1;12250972;UPS;420331911501;1ZX341F40315024156;;;9
2024-01-16 11:35:01.937;1;12250973;UPS;420331911501;1Z099Y8V0373859001;spNI3TxsTH2;;9
2024-01-16 11:35:05.937;1;12250974;UPS;420331220002;1Z4831220395829290;;;9
2024-01-16 11:35:08.937;1;12250975;UPS;420331911501;1Z82V5470357673741;;;9
2024-01-16 11:35:13.937;1;12250976;UPS;420331220002;1Z8R39R10302477829;;;9
2024-01-16 11:35:17.937;1;12250977;UPS;420331911501;1Z803R420309608201;;;9
2024-01-16 11:35:21.953;1;12250978;UPS;420331220002;1ZX32V271343833449;;;9
2024-01-16 11:35:25.953;1;12250979;UPS;420331911501;1ZX3063F1240778235;;;9
2024-01-16 11:35:29.953;1;12250980;UPS;1Z803R420309585361;420331911501;;;9
2024-01-16 11:35:34.953;1;12250981;UPS;1Z82V5470357643685;420331363277;;;9
2024-01-16 11:35:41.953;1;12250982;UPS;420331529995;1ZE356F8YW24830555;42033122926129999666215414956;;9
2024-01-16 11:35:47.953;1;12250983;UPS;420331220002;1Z4831221390256130;;;9
2024-01-16 11:35:51.953;1;12250984;UPS;1Z6Y09R00331629952;42033122;;;9
2024-01-16 11:35:59.953;1;12250985;UPS;42033191;1Z1F92320214751004;;;9
2024-01-16 11:36:32.957;1;12250986;UPS;E16;420331911501;1Z806YY41366560428;spNJ324YSbR;9
2024-01-16 11:36:35.957;1;12250987;UPS;420331529995;1ZC6H140YW67781752;42033122926129034362335414805;;9
2024-01-16 11:36:38.957;1;12250988;UPS;420331529995;1ZC6H140YW97477025;42033122926129034362335414804;;9
2024-01-16 11:36:41.957;1;12250989;UPS;4203312292612903436233541480440087;1ZC6H140YW79599848;4203315;;9
2024-01-16 11:36:46.957;1;12250990;UPS;4203312292612903436233541405474616;1ZC6H140YW24669599;4203315;;9
2024-01-16 11:36:58.957;1;12250991;UPS;42033122;1ZE4G7300315982936;;;9
2024-01-16 11:37:02.957;1;12250992;UPS;420331529995;1ZC6H140YW24473988;42033122926129034362335414055;;9
2024-01-16 11:37:06.970;1;12250993;UPS;1Z1A0T201354216029;420331911501;;;9
2024-01-16 11:37:10.970;1;12250994;UPS;FRN;1ZX3X4290214977423;420331911501;;9
2024-01-16 11:37:16.987;1;12250995;UPS;1Z099Y8V0373828035;420331911501;;;9
2024-01-16 11:37:44.050;1;12250996;UPS;420331220002;1Z91R2071310985951;;;9
2024-01-16 11:37:47.050;1;12250997;UPS;420331220002;1ZE4G7300316030248;;;9
2024-01-16 11:37:53.050;1;12250998;UPS;420331220002;1Z39R5251328317118;;;9
2024-01-16 11:37:57.050;1;12250999;UPS;420331911501;1Z9227Y80275207938;;;9
2024-01-16 11:38:01.050;1;12251000;UPS;420331911501;1Z245W950307785886;;;9
2024-01-16 11:38:06.050;1;12251001;UPS;4203312292612909858126581091173832;1ZA5T360YW89877506;4203315;;9
2024-01-16 11:38:10.050;1;12251002;UPS;420331269998;1ZC6H140YW46642807;;;9
2024-01-16 11:38:16.083;1;12251003;UPS;420331911501;1ZWV29571207074120;00009999991071270585;;9
2024-01-16 11:38:22.097;1;12251004;UPS;420331220002;1Z4437700366956729;;;9
2024-01-16 11:38:29.130;1;12251005;UPS;420331220002;1ZC1B8370212654885;;;9
2024-01-16 11:38:32.130;1;12251006;UPS;1ZX3063F1240745869;420331911501;;;9
2024-01-16 11:38:42.130;1;12251007;UPS;1Z81R9840374818964;420331911501;;;9
2024-01-16 11:38:52.143;1;12251008;UPS;420331529995;1ZC6H140YW96126870;42033122926129034362335414805;;9
2024-01-16 11:38:58.143;1;12251009;UPS;1ZB37G051306495057;420331220002;;;9
2024-01-16 11:39:03.143;1;12251010;UPS;4203312292612903436233541405470984;1ZC6H140YW16773562;4203315;;9
2024-01-16 11:39:33.147;1;12251011;UPS;NO READ;;;;9
2024-01-16 11:39:35.147;1;12251012;UPS;42033122;1Z9X77Y90341337704;;;9
2024-01-16 11:39:39.147;1;12251013;UPS;1ZY345Y20333224796;420331261501;;;9
2024-01-16 11:39:44.147;1;12251014;UPS;42184033122;1Z9A77910433045630;;;9
2024-01-16 11:39:49.147;1;12251015;UPS;1ZAC98180386112525;420331220002;;;9
2024-01-16 11:40:13.147;1;12251016;UPS;420331220002;1Z4437700321807670;;;9
2024-01-16 11:40:20.147;1;12251017;UPS;420331220002;1Z4437700333519665;;;9
2024-01-16 11:40:25.147;1;12251018;UPS;C24010500592378;420331220002;1Z4437700387059294;;9
2024-01-16 11:40:31.160;1;12251019;UPS;1ZX350640332491175;FRP;420331220002;;9
2024-01-16 11:40:39.163;1;12251020;UPS;1Z4437700320116294;420331220002;;;9
2024-01-16 11:41:28.210;1;12251021;UPS;420331220002;1Z4437700340566583;;;9
2024-01-16 11:41:32.210;1;12251022;UPS;1Z4437700369270722;420331220002;;;9
2024-01-16 11:41:38.227;1;12251023;UPS;1Z10A9570375662016;spNJ2N1cghw;420331911501;;9
2024-01-16 11:41:42.227;1;12251024;UPS;1Z4437700379370177;420331220002;;;9
2024-01-16 11:41:48.227;1;12251025;UPS;420331220002;1Z4437700397171090;;;9
2024-01-16 11:41:56.227;1;12251026;UPS;1Z4437700355946199;420331220002;;;9
2024-01-16 11:43:25.227;1;12251027;UPS;1Z4437700389250966;420331220002;;;9
2024-01-16 11:43:31.227;1;12251028;UPS;1Z4437700306373382;420331220002;;;9
2024-01-16 11:43:38.227;1;12251029;UPS;420331220002;1Z4437700322902092;;;9
2024-01-16 11:43:43.227;1;12251030;UPS;1Z4437700386393700;420331220002;;;9
